# frame_id timetamp state tx ty tz qx qy qz qw
3 0.311075 2 -0.0005452689 -0.0004790606 0.09112999 0.002636312 -0.006148649 0.000510231 0.9999775
4 0.414692 2 -0.001467799 -0.0006004446 0.1216704 0.003019516 -0.008397911 -0.0001854232 0.9999602
5 0.518430 2 -0.002125489 -0.0008234308 0.1542201 0.003214841 -0.01071792 0.0005973008 0.9999372
6 0.622045 2 -0.003802147 -0.001528911 0.184543 0.003555539 -0.01230508 -0.000343472 0.9999179
7 0.725798 2 -0.005052729 -0.001952277 0.2166201 0.003871985 -0.01466448 -0.001843184 0.9998833
8 0.829420 2 -0.006673193 -0.002214028 0.2487384 0.00319864 -0.01647821 -0.002058055 0.999857
9 0.933147 2 -0.008073238 -0.002575707 0.2835643 0.001756185 -0.01887156 -0.001573733 0.9998192
10 1.036910 2 -0.009559843 -0.002981352 0.3179724 0.0003671058 -0.02079565 -0.001380463 0.9997827
11 1.140497 2 -0.01152433 -0.003372928 0.3528559 0.0007300271 -0.02207213 -0.002141825 0.9997538
12 1.244242 2 -0.01350836 -0.003896413 0.3863575 0.0005704695 -0.02283052 -0.001979385 0.9997372
13 1.347979 2 -0.014782 -0.003979901 0.4218599 0.0009601627 -0.02399201 -0.0003206085 0.9997116
14 1.451596 2 -0.01645239 -0.004312052 0.4569088 0.0004859746 -0.02489516 -0.0001635274 0.9996899
15 1.555212 2 -0.01788608 -0.004565005 0.4934511 0.0007004363 -0.02626902 0.000750268 0.9996544
16 1.658960 2 -0.02049243 -0.005038685 0.5292168 0.001937633 -0.02703068 -0.0003681897 0.9996327
17 1.762569 2 -0.02227454 -0.005127257 0.5655661 0.003468117 -0.02805149 -0.0007979894 0.9996002
18 1.866302 2 -0.02468257 -0.006191709 0.6014912 0.003750598 -0.02895692 -0.002607755 0.9995702
19 1.969923 2 -0.02703865 -0.006579584 0.6387989 0.003926961 -0.02960918 -0.003180131 0.9995488
20 2.073666 2 -0.0293897 -0.00698566 0.6766303 0.003389017 -0.03047465 -0.002897853 0.9995256
21 2.177281 2 -0.03209587 -0.007731775 0.7133819 0.002351136 -0.03084203 -0.003153605 0.9995165
22 2.281017 2 -0.03414979 -0.008147543 0.7494046 0.002477482 -0.03148563 -0.002989261 0.9994966
23 2.384639 2 -0.03667926 -0.008747531 0.7879559 0.002777858 -0.0325817 -0.003002278 0.9994607
24 2.488250 2 -0.03946198 -0.009064667 0.826057 0.003310979 -0.03286321 -0.002451516 0.9994513
25 2.591988 2 -0.04172082 -0.009746048 0.8633343 0.002078414 -0.03316016 -0.002092077 0.9994457
26 2.695832 2 -0.04397865 -0.0103214 0.9021817 0.00030978 -0.03352755 -0.002787337 0.9994339
27 2.799367 2 -0.04612199 -0.01093474 0.940044 -0.001742557 -0.03307386 -0.00284818 0.9994473
28 2.903084 2 -0.04852181 -0.01081657 0.9790912 -0.002751749 -0.03222891 -0.00235425 0.9994739
29 3.006768 2 -0.05053884 -0.01083697 1.018316 -0.002855566 -0.03207102 -0.002213195 0.9994791
30 3.110441 2 -0.05374596 -0.01100844 1.056943 -0.001433235 -0.03065911 -0.002837836 0.9995248
31 3.214057 2 -0.05564361 -0.01161948 1.097128 0.000796052 -0.03060275 -0.003108597 0.9995264
32 3.317669 2 -0.0583504 -0.01175723 1.137038 0.002454762 -0.02992513 -0.003081769 0.9995444
33 3.421285 2 -0.0607439 -0.01177496 1.176587 0.002107982 -0.02957932 -0.001652285 0.9995589
34 3.524925 2 -0.06282406 -0.01231448 1.216895 -0.0005687083 -0.0299278 -0.000565409 0.9995517
35 3.628545 2 -0.06460325 -0.01273373 1.256518 -0.002362137 -0.03014921 0.001232665 0.9995419
36 3.732256 2 -0.06698177 -0.01301024 1.297254 -0.002113354 -0.03037662 0.004252267 0.9995272
37 3.835871 2 -0.0693685 -0.0130386 1.337029 0.0001217228 -0.03081363 0.004731737 0.9995139
38 3.939488 2 -0.07185417 -0.01333864 1.37802 0.002021217 -0.03170874 0.005084806 0.9994822
39 4.043107 2 -0.07428029 -0.01388095 1.417809 0.002047416 -0.03297516 0.004584226 0.9994436
40 4.146888 2 -0.07698037 -0.01444511 1.458038 0.001364038 -0.03319405 0.00474927 0.9994367
41 4.250460 2 -0.08021701 -0.01479765 1.501615 0.0002813924 -0.03382359 0.003044286 0.9994231
42 4.354202 2 -0.08293581 -0.01540448 1.542959 -0.0003457113 -0.03450062 0.003080873 0.9993998
43 4.457940 2 -0.08623581 -0.0156042 1.584779 -0.001567845 -0.0348391 0.002466008 0.9993886
44 4.561559 2 -0.08856662 -0.01628667 1.625258 -0.003096473 -0.03498757 0.002594995 0.9993796
45 4.665293 2 -0.09224565 -0.01682046 1.667686 -0.004161808 -0.03510954 -0.0004853214 0.9993747
46 4.768912 2 -0.0953435 -0.01698513 1.708932 -0.003734546 -0.03517805 -0.0004593951 0.999374
47 4.872532 2 -0.09803683 -0.01687994 1.75009 -0.00277302 -0.03523816 -0.0005015837 0.999375
48 4.976146 2 -0.1009425 -0.01734997 1.79158 -0.001686211 -0.03543004 -0.001661573 0.9993694
49 5.079909 2 -0.1037863 -0.01788205 1.832287 -0.001767021 -0.03592264 -0.001434619 0.999352
50 5.183503 2 -0.1068017 -0.01765623 1.872975 -0.002321596 -0.03651294 -0.000194644 0.9993305
51 5.287117 2 -0.109759 -0.01810949 1.913441 -0.002877363 -0.03717838 -0.0003837377 0.9993044
52 5.390861 2 -0.1129272 -0.01858707 1.953562 -0.0008883497 -0.037264 -0.001604653 0.9993038
53 5.494473 2 -0.1162203 -0.01878706 1.993244 0.001149672 -0.03762053 -0.001964256 0.9992895
